date,buy_avg_holding_price,buy_avg_open_price,buy_close_order_quantity,buy_daily_pnl,buy_margin,buy_market_value,buy_open_order_quantity,buy_pnl,buy_quantity,buy_today_quantity,buy_transaction_cost,closable_buy_quantity,closable_sell_quantity,daily_holding_pnl,daily_pnl,daily_realized_pnl,margin,market_value,order_book_id,pnl,sell_avg_holding_price,sell_avg_open_price,sell_close_order_quantity,sell_daily_pnl,sell_margin,sell_market_value,sell_open_order_quantity,sell_pnl,sell_quantity,sell_today_quantity,sell_transaction_cost,symbol,total_orders,total_trades,transaction_cost
2016-02-03,2883.3,2883.3,0,-46230.0,345996.0,818760.0,0,-46230.0,1,1,19.895,1,0,-46230.0,-46230.0,0.0,345996.0,818760.0,IF1606,-46230.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-02-04,2729.2,2883.3,0,14520.0,327504.0,833280.0,0,-31710.0,1,0,19.895,1,0,14520.0,14520.0,0.0,327504.0,833280.0,IF1606,-31710.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-02-05,2777.6,2883.3,0,-5760.0,333312.0,827520.0,0,-37470.0,1,0,19.895,1,0,-5760.0,-5760.0,0.0,333312.0,827520.0,IF1606,-37470.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-02-15,2758.4,2883.3,0,-6060.0,331008.0,821460.0,0,-43530.0,1,0,19.895,1,0,-6060.0,-6060.0,0.0,331008.0,821460.0,IF1606,-43530.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-02-16,2738.2,2883.3,0,23040.0,328584.0,844500.0,0,-20490.0,1,0,19.895,1,0,23040.0,23040.0,0.0,328584.0,844500.0,IF1606,-20490.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-02-17,2815.0,2883.3,0,4200.0,337800.0,848700.0,0,-16290.0,1,0,19.895,1,0,4200.0,4200.0,0.0,337800.0,848700.0,IF1606,-16290.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-02-18,2829.0,2883.3,0,1380.0,339480.0,850080.0,0,-14910.0,1,0,19.895,1,0,1380.0,1380.0,0.0,339480.0,850080.0,IF1606,-14910.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-02-19,2833.6,2883.3,0,-1860.0,340032.0,848220.0,0,-16770.0,1,0,19.895,1,0,-1860.0,-1860.0,0.0,340032.0,848220.0,IF1606,-16770.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-02-22,2827.4,2883.3,0,14040.0,339288.0,862260.0,0,-2730.0,1,0,19.895,1,0,14040.0,14040.0,0.0,339288.0,862260.0,IF1606,-2730.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-02-23,2874.2,2883.3,0,-12780.0,344904.0,849480.0,0,-15510.0,1,0,19.895,1,0,-12780.0,-12780.0,0.0,344904.0,849480.0,IF1606,-15510.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-02-24,2831.6,2883.3,0,2820.0,339792.0,852300.0,0,-12690.0,1,0,19.895,1,0,2820.0,2820.0,0.0,339792.0,852300.0,IF1606,-12690.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-02-25,2841.0,2883.3,0,-41040.0,340920.0,811260.0,0,-53730.0,1,0,19.895,1,0,-41040.0,-41040.0,0.0,340920.0,811260.0,IF1606,-53730.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-02-26,2704.2,2883.3,0,5340.0,324504.0,816600.0,0,-48390.0,1,0,19.895,1,0,5340.0,5340.0,0.0,324504.0,816600.0,IF1606,-48390.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-02-29,2722.0,2883.3,0,-30960.0,326640.0,785640.0,0,-79350.0,1,0,19.895,1,0,-30960.0,-30960.0,0.0,326640.0,785640.0,IF1606,-79350.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-03-01,2618.8,2883.3,0,27840.0,314256.0,813480.0,0,-51510.0,1,0,19.895,1,0,27840.0,27840.0,0.0,314256.0,813480.0,IF1606,-51510.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-03-02,2711.6,2883.3,0,36900.0,325392.0,850380.0,0,-14610.0,1,0,19.895,1,0,36900.0,36900.0,0.0,325392.0,850380.0,IF1606,-14610.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-03-03,2834.6,2883.3,0,1200.0,340152.0,851580.0,0,-13410.0,1,0,19.895,1,0,1200.0,1200.0,0.0,340152.0,851580.0,IF1606,-13410.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-03-04,2838.6,2883.3,0,7800.0,340632.0,859380.0,0,-5610.0,1,0,19.895,1,0,7800.0,7800.0,0.0,340632.0,859380.0,IF1606,-5610.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-03-07,2864.6,2883.3,0,11940.0,343752.0,871320.0,0,6330.0,1,0,19.895,1,0,11940.0,11940.0,0.0,343752.0,871320.0,IF1606,6330.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-03-08,2904.4,2883.3,0,-3720.0,348528.0,867600.0,0,2610.0,1,0,19.895,1,0,-3720.0,-3720.0,0.0,348528.0,867600.0,IF1606,2610.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-03-09,2892.0,2883.3,0,-10560.0,347040.0,857040.0,0,-7950.0,1,0,19.895,1,0,-10560.0,-10560.0,0.0,347040.0,857040.0,IF1606,-7950.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-03-10,2856.8,2883.3,0,-2160.0,342816.0,854880.0,0,-10110.0,1,0,19.895,1,0,-2160.0,-2160.0,0.0,342816.0,854880.0,IF1606,-10110.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-03-11,2849.6,2883.3,0,-6540.0,341952.0,848340.0,0,-16650.0,1,0,19.895,1,0,-6540.0,-6540.0,0.0,341952.0,848340.0,IF1606,-16650.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-03-14,2827.8,2883.3,0,22920.0,339336.0,871260.0,0,6270.0,1,0,19.895,1,0,22920.0,22920.0,0.0,339336.0,871260.0,IF1606,6270.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-03-15,2904.2,2883.3,0,-8280.0,348504.0,862980.0,0,-2010.0,1,0,19.895,1,0,-8280.0,-8280.0,0.0,348504.0,862980.0,IF1606,-2010.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
2016-03-16,2876.6,2883.3,0,4260.0,345192.0,867240.0,0,2250.0,1,0,19.895,1,0,4260.0,4260.0,0.0,345192.0,867240.0,IF1606,2250.0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0.0,沪深1606,1,1,19.895
